company name ,contact number,Area,product category 1,product category 2,product category 3,company description
"Quang Dang Co., Ltd.",tel:+84 8 3860 7060,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Quana Co., Ltd.",tel:+84 8 3834 4795,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Q.V.T Marketing Sport & Trading Service Co., Ltd.",tel:+84 8 62821939,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
PTP Joint Stock Co.,tel:+84 4 3927 3148,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Poliform Investment Trading & Production Joint Stock Co.,tel:+84 4 3974 4759,Hà nội - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Phuong Tu Trading & Service Co. Ltd,tel:+84 8 3846 1131,Tp.hồ chí minh - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
Phu Vinh JSC,tel:+84 4 3874 2463,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Phu Nghia Co., Ltd.",tel:+84 4 3537 3397,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Phi Kha Production & Service Trading Co., Ltd.",tel:+84 8 3895 5912,Tp.hồ chí minh - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Phan Gia Trading Service Construction Survey Co., Ltd.",tel:+84 8 3722 3025,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Pacorini Vietnam Co.,Ltd.",tel:+84 650 374 4178,Tỉnh bình dương - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
"OKC Co., Ltd.",tel:+84 511 382 2298,Tp.đà nẵng - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
No. 2 Stamp Postal Service Centre,tel:+84 8 3822 2326,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Ninh Giang Production Trading Service Co., Ltd.",tel:+84 8 3862 7010,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Nhu Thi Co., Ltd.",tel:+84 8 3856 3990,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Nhip Cau Real Estate Services Stock Exchange,tel:+84 8 3517 4972,Tp.hồ chí minh - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Nhat Du Co., Ltd.",tel:+84 8 3920 5798,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Nha Trang Urban Environment Co.,tel:+84 58 352 4839,Tỉnh khánh hòa - Viet Nam,Ecology and environmental consultants NES,"Environmental services, renewable energies",Environmental impact assessment consultants...,Environment Technology & Consulting
"Nha Viet Co., Ltd.",tel:+84 56 352 5850,Tỉnh bình định - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Nha Minh HTG Co., Ltd.",tel:+84 511 221 3613,Tp.đà nẵng - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Nguyen Truong Thang Production & Trading Co.,Ltd.",tel:+84 8 3927 2130,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Nguyen Thanh Co., Ltd.",tel:+84 8 3875 5128,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Nguyen Quang Minh Co., Ltd.",tel:+84 8 3984 4883,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Nguyên Quang Minh Co., Ltd.",tel:+84 511 224 9368,Tp.đà nẵng - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Nguyen Khe Co., Ltd.",tel:+84 8 3758 1187,Tp.hồ chí minh - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
"Nguyen Nga Lau Co.,Ltd.",tel:+84 56 3539638,Tỉnh bình định - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Nguyen Ha Trading & Construction Co., Ltd.",tel:+84 8 3846 8848,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Nguyen Air-Conditioned Production & Trading Co., Ltd.",tel:+84 321 395 5742,Tỉnh hưng yên - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Ngự Viên Restaurant,tel:+84 4 3733 0333,Hà nội - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Ngoc Linh Technical & Trading Joint Stock Co.,tel:+84 4 3513 2966,Hà nội - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Ngan An Joint Stock Co.,tel:+84 61 382 4788,Tỉnh đồng nai - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"New Global Co., Ltd.",tel:+84 650 373 7001,Tỉnh bình dương - Viet Nam,"Air transport services, passenger and freight",Transportation and logistics services,Airline companies,Airlines
Nam Phat J.S.C,tel:+84 8 3862 0343,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Nam Hai Material Trading Co., Ltd.",tel:+84 4 3974 2103,Hà nội - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Mỹ Thu Co., Ltd.",tel:+84 56 385 0297,Tỉnh bình định - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Minh Tien Joint Stock Co.,tel:+84 8 3821 4998,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Minh Quang Carpet Co., Ltd.",tel:+84 8 3834 6228,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Minh Hưng Construction Trading Service Co., Ltd.",tel:+84 8 3960 1810,Tp.hồ chí minh - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,Internet Media
"Minh Hai Chinaware Pottery Co., Ltd.",tel:+84 4 3874 1060,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Minh A Trading & Services Co., Ltd.",tel:+84 8 3526 2151,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"May Viet Co., Ltd.",tel:+84 61 887 1405,Tỉnh đồng nai - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Marketing Communication Co., Ltd.",tel:+84 4 3574 2745,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Map Surveying Center,tel:+84 8 35101042,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Lý Thiên Ngân Co.,Ltd.",tel:+84 8 3834 8839,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Lua Viet Import Export Co., Ltd.",tel:+84 4 3874 4727,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Loc Thanh Co., Ltd.",tel:+84 64 357 2999,Tỉnh bà rịa - vũng tàu - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Lien Hung Print Pte Ent,tel:+84 8 3850 0566,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Le Gia Phat Co., Ltd.",tel:+84 8 3865 2455,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Le Ba  Truyen 2 Garden Restaurant Pte. Ent,tel:+84 510 386 4463,Tỉnh quảng nam - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Lam Thanh Trading & Service Co., Ltd.",tel:+84 8 3517 2595,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Lam Giang Service Trading Pte Ent,tel:+84 8 3898 3032,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"L.D.V Co., Ltd.",tel:+84 8 3997 5696,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Seafood
Krong-Ana Coffee Co.,tel:+84 500 365 0522,Tỉnh đắk lắk - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
"Kosvida Agrochemical Co., Ltd.",tel:+84 650 375 1650,Tỉnh bình dương - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Kian Home Center Co., Ltd.",tel:+84 8 5411 9099,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Khanh Van Co., Ltd.",tel:+84 58 383 1048,Tỉnh khánh hòa - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Khiem Nhuong Co., Ltd.",tel:+84 76 386 7098,Tỉnh an giang - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Khanh Loc Production Trade Co., Ltd.",tel:+84 8 3893 1795,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Ket Doan Trading Production Co., Ltd.",tel:+84 8 3726 7973,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
International News Cooperation Centre,tel:+84 4 3826 6980,Hà nội - Viet Nam,Services to businesses,Thematic information and documentation services,Commercial information services,Information Services - Commercial
"Huyen Vinh Co., Ltd.",tel:+84 4 3856 2323,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Steel
"Huy Dat Trading Interior Decorations Co., Ltd.",tel:+84 8 3864 6428,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Huy Hoang Consultant Design Construction Trading Co., Ltd.",tel:+84 8 3841 5729,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Huong Tra Restaurant,tel:+84 62 384 9998,Tỉnh bình thuận - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Huong Minh Green Tourism Joint Stock Co.,tel:+84 33 384 6847,Tỉnh quảng ninh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Huong Lan Trade & Service Joint Stock Co.,tel:+84 33 382 5232,Tỉnh quảng ninh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Huong Ha Import Export Co., Ltd.",tel:+84 4 3874 0885,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Huong Dinh Construction & Trading Co.,Ltd.",tel:+84 8 3843 2179,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Hung Son Decor Pte Ent,tel:+84 8 3996 7105,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Hùng Cường Quảng Ninh Production Trading Co., Ltd.",tel:+84 33 388 6580,Tỉnh quảng ninh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Hue Lam Co., Ltd.",tel:+84 4 3851 5205,Hà nội - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Hong Phat Co., Ltd.",tel:+84 8 3740 2052,Tp.hồ chí minh - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
"Hong Jie Co., Ltd.",tel:+84 510 387 4168,- Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Hong Hong Phat Co.,Ltd.",tel:+84 8 3820 4125,Tp.hồ chí minh - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
"Hoang Truong Phat Trading Co., Ltd.",tel:+84 8 3790 1976,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
