company name,contact number,area,product category 1,product category 2,product category 3,company description
Alloush Computer Services,+20 2 26390127 3 Line,مصر الجديده.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Importer of computers & their spare parts. Supplier of computers to companies. Computer services[programming, websites designing, maintenance]. Legal form: Partnership Legal Sector:Private"
Elmodather Yarns,"+20 2 26994883, 010-1541129, 010-1620109",مدينه السلام.القاهره,Textiles,"Yarns and twists, man-made fibres","Yarns, acrylic...","Yarns, acrylic..."
Lotus Poultry Production,+20 2 26260082,مدينه السلام.القاهره,Livestock and fish,Poultry,"Poultry, day old...","Poultry, day old..."
Serag-Eng.Tarek Abbass,"+20 2 24974471, 010-4529087",المطريه.القاهره,Information technology (IT) and Internet,Information technology (IT) maintenance services,Computer and computer peripheral maintenance services...,Computer and computer peripheral maintenance services...Installation of computers [new & second hand]. Importer of second-hand screens. Legal form: Individual Ent. Legal Sector:Private
Egyptian New Trade,"+20 2 22908964, 02-24175888, 012-2194001",مصر الجديده.القاهره,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Ventilation, air conditioning (VAC) plants",Air conditioners...,Air conditioners...
Bagheera,+20 2 27358696,الزمالك.القاهره,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,,Importer of bakery requisites. CAPITAL PAID:- 25000 EGP CAPITAL ISSUED:- 250000 EGP CAPITAL AUTHORIZED:- 1000000 EGP COMM.REGISTRY NO.:- 21838 TAX CARD NO.:- 240-012-135 Legal form: Ltd. Liability Legal Sector:Private
Delta Import & Export,"+20 2 22735788, 012-3157320",مدينه نصر.القاهره,Monitors/display screens,Information technology (IT) and Internet,Input peripherals...,Input peripherals...Importer & exporter of computer requisites. Legal form: Partnership Legal Sector:Private
Rawan General Supplies & Import,+20 10 5167830,المطريه.القاهره,Information technology (IT) and Internet,Information technology (IT) maintenance services,Computer and computer peripheral maintenance services...,Computer and computer peripheral maintenance services...Importer & distributor of inks for printers. Maintenance for filling of cartridges toners printers. Legal form: Individual Ent. Legal Sector:Private
Life Chemicals Group,"+20 2 24549350, 02-24549360, 02-24549308, 02-24549301, 010-1675051, 010-5398322, 012-1063535",مصر الجديده.القاهره,Chemical products,"Chemicals for paint, lacquer and varnish making",Additives for heat resistant paints...,Additives for heat resistant paints...
"Egyptian Trading Office for Integrated Solutions & Services, E.T.O","+20 2 22628895, 02-22601291, 02-22601261",مدينه نصر.القاهره,Clothing and footwear,Underwear and nightwear for men,Underwear and nightwear for children...,"Underwear and nightwear for children...Importer & exporter of ready-made garments & underwear for children, boys, girls, men & women. Legal form: Ltd. Liability Legal Sector:Private"
Farrag for Modern Products,"+20 2 22560885, 02-22560884",مصر الجديده.القاهره,"Timber, wooden products, machinery and equipment for the woodworking industry","Doors and gates, wooden","Doors, wooden, solid...","Doors, wooden, solid..."
Arabic Will Trading & Distributing,"+20 2 44892627, 02-44892628, 02-44892443, 010-6653693, 010-6611880",ط.قاهره/اسماعيليه.القاهره,Wholesale trade,"General traders, department and retail stores",Chemicals and pharmaceuticals (wholesale),"Chemicals and pharmaceuticals (wholesale)Distributor of raw material[starch, glucose & maltose]. CAPITAL PAID:- 200000 EGP TOTAL ASSETS:- 21721202 EGP COMM.REGISTRY NO.:- 355725 Cairo TAX CARD NO.:- 200-527-096 Legal form: Partnership Legal Sector:Private"
Al-Akl for Trading & Marketing,"+20 2 23620317, 011-44411722",جاردن سيتى.القاهره,Food,Animal feed,Feeds and feed concentrates for chickens...,Feeds and feed concentrates for chickens...Importer of office furniture. Exporter of feeds concentrates. CAPITAL PAID:- 10000000 EGP CAPITAL ISSUED:- 10000000 EGP CAPITAL AUTHORIZED:- 50000000 EGP COMM.REGISTRY NO.:- 7679 Legal form: Joint Stock Legal Sector:Private
Joy Tech Import & Trade,"+20 2 24984982, 012-2759782",المطريه.القاهره,Information technology (IT) and Internet,"Software, industrial",Embedded systems...,Embedded systems...Importer of CD & DVD writers. Legal form: Individual Ent. Legal Sector:Private
Marvel Import & Export,"+20 10 1417822, 012-7755265, 012-7755271",ط.قاهره/اسماعيليه.القاهره,"Leathers, furs and their products","Travel goods, handbags and similar articles, leather","Travel bags, leather...","Travel bags, leather...Importer & exporter of leather products[shoes & bags for women]. Shipping & forwarding agents & Customs clearance services. Legal form: Partnership Legal Sector:Private"
Emad El-Din Institution General Supplies & Ready-Made Garments Manufacturing,"+20 2 22745166, 02-22745288, 012-2185137",مدينه نصر.القاهره,Clothes by fabric,Clothing and footwear,"Clothes, cotton...","Clothes, cotton...Manufacturer of ready-made garments for women[blous, skirt, trousers]. Importer of household & crystal articles[china table articles, bohemian crystal]. [Activity is temporarily ceased]. Legal form: Individual Ent. Legal Sector:Private"
Epsy Information Technology,"+20 2 22579724, 02-22579712",مصر الجديده.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Importer & distributor of computers & labtop. Legal form: Partnership Legal Sector:Private"
Alpha Feed Int'l-Amr Mohamed Aziz Mokhtar,,ط.قاهره/اسماعيليه.القاهره,Food,Animal feed,Cattle feeds and feed concentrates...,Cattle feeds and feed concentrates...Manufacturer of animal feed concentrates. CAPITAL PAID:- 5000000 EGP COMM.REGISTRY NO.:- 653 Kaliubeya Legal form: Individual Ent. Legal Sector:Private
One World Aluminium Industries,+20 2 23499131,مدينه نصر.القاهره,"Semi-manufactured products, aluminium and its alloys",Basic metal products,Aluminium foil...,Aluminium foil...
Al-Shrouk Medical Appliances Technology,"+20 2 25251883, 010-3419479, 010-3777536, 02-25285817, 010-7775361",المعادى.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...Importer of medical appliances. CAPITAL PAID:- 25000 EGP Legal form: Individual Ent. Legal Sector:Private
Al-Arab for Import & Trading,"+20 2 24047587, 02-24028795, 02-24028796, 012-3168065",مدينه نصر.القاهره,Clothing and footwear,Clothes for children,Coats for children...,Coats for children...Commercial agent in the field of ready-made outwear for children from 4 to 12 years. Importer of children toys & gifts. CAPITAL PAID:- 50000 EGP Legal form: Partnership Legal Sector:Private
Agrolink,"+20 2 24536854, 012-6875260",مصر الجديده.القاهره,Chemical products,"Fertilisers, organic carbon based","Fertilisers, chemical and mineral...","Fertilisers, chemical and mineral...Importer & distributor of fertilizers & insecticides. CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 372983 Cairo TAX CARD NO.:- 215-596-889 Legal form: Ltd. Liability Legal Sector:Private"
Horus Trade,"+20 2 25285640, 02-25285641, 02-25260681, 02-25260682",المعادى.القاهره,"Flour and meal, cereal",Food,"Flour, non-cereal...","Flour, non-cereal..."
Indomedix Egypt,"+20 2 24517339, 02-22597514, 012-3110059, 010-6607012",مصر الجديده.القاهره,"Amines, including salts, amides and other organic nitrogen compounds NES",Diphenylamine and derivatives,Chemical base materials...,Chemical base materials...Importer & agent of diagnostic materials for laboratories. CAPITAL PAID:- 21000 EGP COMM.REGISTRY NO.:- 1139 Legal form: Ltd. Partnership Legal Sector:Private
Trichem for Foreign Trade,+20 2 25217911,المعادى.القاهره,"Basic chemical products for cosmetics, perfumes, detergents and soaps",Chemical base materials,Adipates for toilet preparations and detergents...,"Adipates for toilet preparations and detergents...Commercial Agent & importer of chemicals used in plastic, paints, construction, detergents, ceramic & chemicals additives for beverage industry. 3 Server:N/A Application:N/A Legal form: Individual Ent. Legal Sector:Private"
Int'l for Starch Food,"+20 2 44892627, 02-44892628, 02-44892443, 02-44892629, 010-6653693, 010-6653654",ط.قاهره/اسماعيليه.القاهره,Chemical products,Starch,"Starch, arrowroot...","Starch, arrowroot...Producer of starch for textile, paper, corrugated cardboard & wood industries. CAPITAL PAID:- 1500000 EGP TOTAL ASSETS:- 25201990 EGP COMM.REGISTRY NO.:- 3922 Cairo TAX CARD NO.:- 205-158-188 Legal form: Ltd. Partnership Legal Sector:Private"
"Union Import, Export & Commercial Agencies","+20 2 25281355, 02-25281777, 012-73070414, 016-4003993, 012-3263528",المعادى.القاهره,Agriculture and forestry,Cereals and pseudo cereals,Barley...,Barley...
El-Amin Import & Export Est.,"+20 2 23959768, 010-5260306, 012-2612028, 010-2881351",عابدين.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Distributor of computer & its requisites. CAPITAL PAID:- 25000 EGP COMM.REGISTRY NO.:- 51431 South Cairo TAX CARD NO.:- 679-415-920 Legal form: Individual Ent. Legal Sector:Private"
Egtrac Trade & Services,"+20 2 27587082, 02-27587231, 02-27587232, 02-27587081",ط.قاهره/السويس.القاهره,Winches,Handling and storage plant and equipment,"Winches, electric...","Winches, electric...Commercial agent for heavy equipment. Importer of spare parts for heavy machinery & equipment. CAPITAL PAID:- 2250000 EGP COMM.REGISTRY NO.:- 7892 Legal form: Joint Stock Legal Sector:Private Law 159"
Afroaasian Arab Group,"+20 2 22751008, 010-1214175",مدينه نصر.القاهره,"Furniture, domestic",Furniture and linen,"Furniture, domestic, wooden...","Furniture, domestic, wooden...Manufacturer & exporter of wooden & metal domestic furniture [bed room, living room & dining room] Legal form: Ltd. Partnership Legal Sector:Private"
General Commerce,"+20 2 22617046, 02-22617044, 02-24026782, 016-6679747",مدينه نصر.القاهره,"Precious stoneworking, watchmaking and jewellery",Clocks,Watches...,Watches...Commercial agent for watches & batteries for watches. CAPITAL PAID:- 5000000 EGP CAPITAL ISSUED:- 5000000 EGP CAPITAL AUTHORIZED:- 5000000 EGP COMM.REGISTRY NO.:- 255533 Cairo Legal form: Ltd. Liability Legal Sector:Private Law 159
United for Trading & Forwarding Services,"+20 2 24034846, 02-22608190, 02-22608191",مدينه نصر.القاهره,"Leathers, furs and their products","Fancy goods, leather","Travel goods, handbags and similar articles, leather...","Travel goods, handbags and similar articles, leather...Importer & distributor of footwear for men, women & children, bags & wallets, belts. CAPITAL PAID:- 500000 EGP COMM.REGISTRY NO.:- 5238 Giza Legal form: Ltd. Partnership Legal Sector:Private"
Unigypt Trade,"+20 2 24147202, 02-24147201, 010-6672776, 010-5219856",مصر الجديده.القاهره,Electrical equipment. Nuclear equipment,"Electric wires, insulated","Wire, mineral fibre covered, electric...","Wire, mineral fibre covered, electric...Importer & agents of wireless communication & radio equipments. CAPITAL PAID:- 250000 EGP COMM.REGISTRY NO.:- 311376 IND.REGISTRY NO.:- 410-466-026 Legal form: Ltd. Partnership Legal Sector:Private"
El-Amal New for Hotel Catering,"+20 2 22602837, 02-24014443, 012-7449065",مدينه نصر.القاهره,Furniture and linen,Furniture for hotels and restaurants,"Furniture, hotel, wooden...","Furniture, hotel, wooden..."
El-Amera for Import & Supplier,"+20 2 24559792, 010-5005974, 016-6433370",حدائق القبه.القاهره,Plastic articles for shops and supermarkets,Plastic products,Wholesale trade...,Wholesale trade...Import & supplier of mould used for house ware & furniture.
